text_id,entity_text,entity_label,start_char,end_char,pipeline
1,IPCC,ORG,4,8,ruler_before
1,Sixth Assessment Report,REPORT,22,45,ruler_before
1,March 2023,DATE,49,59,ruler_before
1,1.5 degrees Celsius,THRESHOLD,107,126,ruler_before
1,2030,DATE,158,162,ruler_before
1,Antonio Guterres,PERSON,283,299,ruler_before
1,COP,ORG,428,431,ruler_before
2,COP28,CLIMATE_EVENT,3,8,ruler_before
2,Dubai,GPE,12,17,ruler_before
2,190,CARDINAL,24,27,ruler_before
2,The United Arab Emirates,GPE,99,123,ruler_before
2,two weeks,DATE,159,168,ruler_before
2,2030,DATE,271,275,ruler_before
3,The World Bank,ORG,0,14,ruler_before
3,$12.5 billion,MONEY,27,40,ruler_before
3,June 2024,DATE,68,77,ruler_before
3,Sub-Saharan Africa,ORG,111,129,ruler_before
3,South Asia,LOC,134,144,ruler_before
3,World Bank,ORG,276,286,ruler_before
3,Ajay Banga,PERSON,297,307,ruler_before
4,Jordan,GPE,0,6,ruler_before
4,National Climate Change Policy,ORG,9,39,ruler_before
4,2022,DATE,52,56,ruler_before
4,31%,PERCENT,118,121,ruler_before
4,2030,DATE,125,129,ruler_before
4,The Ministry of Environment,ORG,266,293,ruler_before
4,UNDP,ORG,339,343,ruler_before
4,the European Union,ORG,348,366,ruler_before
5,UNFCCC,ORG,0,6,ruler_before
5,Simon Stiell,PERSON,27,39,ruler_before
5,Bonn Climate Change Conference,CLIMATE_EVENT,67,97,ruler_before
5,June 2024,DATE,101,110,ruler_before
5,nationally determined contributions,POLICY,137,172,ruler_before
5,Paris Agreement,POLICY,191,206,ruler_before
5,NDCs,POLICY,269,273,ruler_before
5,February 2025,DATE,281,294,ruler_before
5,loss and damage,AGREEMENT,326,341,ruler_before
6,The European Union's,ORG,0,20,ruler_before
6,Carbon Border Adjustment Mechanism,POLICY,21,55,ruler_before
6,October 2023,DATE,90,102,ruler_before
6,EU,ORG,275,277,ruler_before
6,January 2026,DATE,409,421,ruler_before
7,September 2023,DATE,3,17,ruler_before
7,the United Nations General Assembly,ORG,19,54,ruler_before
7,Climate Ambition Summit,CLIMATE_EVENT,66,89,ruler_before
7,New York,GPE,93,101,ruler_before
7,Paris Agreement,POLICY,362,377,ruler_before
8,FAO,ORG,0,3,ruler_before
8,State of Food and Agriculture,REPORT,18,47,ruler_before
8,2023,DATE,48,52,ruler_before
8,735 million,CARDINAL,173,184,ruler_before
8,2022,DATE,216,220,ruler_before
8,FAO,ORG,296,299,ruler_before
8,Qu Dongyu,PERSON,317,326,ruler_before
8,$4 billion,MONEY,338,348,ruler_before
8,annual,DATE,352,358,ruler_before
9,The Green Climate Fund,ORG,0,22,ruler_before
9,$1.2 billion,MONEY,32,44,ruler_before
9,October 2023,DATE,79,91,ruler_before
9,Songdo,GPE,109,115,ruler_before
9,South Korea,GPE,117,128,ruler_before
9,$150 million,MONEY,158,170,ruler_before
9,Bangladesh,GPE,201,211,ruler_before
9,$90 million,MONEY,215,226,ruler_before
9,the Congo Basin,LOC,255,270,ruler_before
9,$45 million,MONEY,278,289,ruler_before
9,Jordan,GPE,316,322,ruler_before
9,$12 billion,MONEY,356,367,ruler_before
10,China,GPE,0,5,ruler_before
10,Change Xie Zhenhua,PERSON,34,52,ruler_before
10,US,GPE,62,64,ruler_before
10,John Kerry,PERSON,79,89,ruler_before
10,Sunnylands,GPE,93,103,ruler_before
10,California,GPE,105,115,ruler_before
10,November 2023,DATE,119,132,ruler_before
10,Paris Agreement,POLICY,225,240,ruler_before
10,COP28,CLIMATE_EVENT,395,400,ruler_before
11,NASA,ORG,15,19,ruler_before
11,Goddard Institute for Space Studies,ORG,22,57,ruler_before
11,2023,DATE,73,77,ruler_before
11,the warmest year,DATE,82,98,ruler_before
11,1.48 degrees Celsius,QUANTITY,143,163,ruler_before
11,1850-1900,DATE,174,183,ruler_before
11,El Nino,GPE,198,205,ruler_before
11,mid-2023,DATE,232,240,ruler_before
11,Southern Europe,LOC,311,326,ruler_before
11,North Africa,GPE,328,340,ruler_before
11,the Middle East,LOC,346,361,ruler_before
11,July 2023,DATE,363,372,ruler_before
11,the hottest month,DATE,377,394,ruler_before
12,Science,GPE,21,28,ruler_before
12,January 2024,DATE,32,44,ruler_before
12,the Greenland Ice Sheet,ORG,56,79,ruler_before
12,approximately 270 billion tonnes,QUANTITY,85,117,ruler_before
12,between 2006 and 2022,DATE,134,155,ruler_before
12,GRACE,ORG,213,218,ruler_before
12,GRACE-FO,ORG,223,231,ruler_before
12,approximately 0.7 millimeters,QUANTITY,286,315,ruler_before
12,2010,DATE,390,394,ruler_before
13,Arctic,LOC,4,10,ruler_before
13,sixth,ORDINAL,38,43,ruler_before
13,September 2023,DATE,70,84,ruler_before
13,the National Snow and Ice Data Center,ORG,99,136,ruler_before
13,Boulder,GPE,140,147,ruler_before
13,Colorado,GPE,149,157,ruler_before
13,15,CARDINAL,184,186,ruler_before
13,Arctic sea,LOC,194,204,ruler_before
13,the last 15 years,DATE,238,255,ruler_before
14,the Great Barrier Reef Foundation,FAC,21,54,ruler_before
14,fourth,ORDINAL,70,76,ruler_before
