text_id,entity_text,entity_label,start_char,end_char,pipeline
1,IPCC,ORG,4,8,ruler_after
1,Sixth Assessment Report,EVENT,22,45,ruler_after
1,March 2023,DATE,49,59,ruler_after
1,1.5 degrees,QUANTITY,107,118,ruler_after
1,2030,DATE,158,162,ruler_after
1,Antonio Guterres,PERSON,283,299,ruler_after
1,COP,ORG,428,431,ruler_after
2,COP28,CLIMATE_EVENT,3,8,ruler_after
2,Dubai,GPE,12,17,ruler_after
2,190,CARDINAL,24,27,ruler_after
2,The United Arab Emirates,GPE,99,123,ruler_after
2,two weeks,DATE,159,168,ruler_after
2,2030,DATE,271,275,ruler_after
3,The World Bank,ORG,0,14,ruler_after
3,$12.5 billion,MONEY,27,40,ruler_after
3,June 2024,DATE,68,77,ruler_after
3,Sub-Saharan Africa,ORG,111,129,ruler_after
3,South Asia,LOC,134,144,ruler_after
3,World Bank,ORG,276,286,ruler_after
3,Ajay Banga,PERSON,297,307,ruler_after
4,Jordan,GPE,0,6,ruler_after
4,National Climate Change Policy,ORG,9,39,ruler_after
4,2022,DATE,52,56,ruler_after
4,31%,PERCENT,118,121,ruler_after
4,2030,DATE,125,129,ruler_after
4,The Ministry of Environment,ORG,266,293,ruler_after
4,UNDP,ORG,339,343,ruler_after
4,the European Union,ORG,348,366,ruler_after
5,UNFCCC,ORG,0,6,ruler_after
5,Simon Stiell,PERSON,27,39,ruler_after
5,the Bonn Climate Change Conference,ORG,63,97,ruler_after
5,June 2024,DATE,101,110,ruler_after
5,nationally determined contributions,POLICY,137,172,ruler_after
5,the Paris Agreement,EVENT,187,206,ruler_after
5,NDCs,POLICY,269,273,ruler_after
5,February 2025,DATE,281,294,ruler_after
5,loss and damage,AGREEMENT,326,341,ruler_after
6,The European Union's,ORG,0,20,ruler_after
6,Carbon Border Adjustment Mechanism,ORG,21,55,ruler_after
6,October 2023,DATE,90,102,ruler_after
6,EU,ORG,275,277,ruler_after
6,January 2026,DATE,409,421,ruler_after
7,September 2023,DATE,3,17,ruler_after
7,the United Nations General Assembly,ORG,19,54,ruler_after
7,the Climate Ambition Summit,ORG,62,89,ruler_after
7,New York,GPE,93,101,ruler_after
7,the Paris Agreement,EVENT,358,377,ruler_after
8,FAO,ORG,0,3,ruler_after
8,State of Food and Agriculture 2023,ORG,18,52,ruler_after
8,735 million,CARDINAL,173,184,ruler_after
8,2022,DATE,216,220,ruler_after
8,FAO,ORG,296,299,ruler_after
8,Qu Dongyu,PERSON,317,326,ruler_after
8,$4 billion,MONEY,338,348,ruler_after
8,annual,DATE,352,358,ruler_after
9,The Green Climate Fund,ORG,0,22,ruler_after
9,$1.2 billion,MONEY,32,44,ruler_after
9,October 2023,DATE,79,91,ruler_after
9,Songdo,GPE,109,115,ruler_after
9,South Korea,GPE,117,128,ruler_after
9,$150 million,MONEY,158,170,ruler_after
9,Bangladesh,GPE,201,211,ruler_after
9,$90 million,MONEY,215,226,ruler_after
9,the Congo Basin,LOC,255,270,ruler_after
9,$45 million,MONEY,278,289,ruler_after
9,Jordan,GPE,316,322,ruler_after
9,$12 billion,MONEY,356,367,ruler_after
10,China,GPE,0,5,ruler_after
10,Change Xie Zhenhua,PERSON,34,52,ruler_after
10,US,GPE,62,64,ruler_after
10,John Kerry,PERSON,79,89,ruler_after
10,Sunnylands,GPE,93,103,ruler_after
10,California,GPE,105,115,ruler_after
10,November 2023,DATE,119,132,ruler_after
10,the Paris Agreement,EVENT,221,240,ruler_after
10,COP28,CLIMATE_EVENT,395,400,ruler_after
11,NASA,ORG,15,19,ruler_after
