text_id,entity_text,entity_label,start_char,end_char,pipeline
1,IPCC,ORG,4,8,baseline
1,Sixth Assessment Report,EVENT,22,45,baseline
1,March 2023,DATE,49,59,baseline
1,1.5 degrees,QUANTITY,107,118,baseline
1,2030,DATE,158,162,baseline
1,Antonio Guterres,PERSON,283,299,baseline
1,COP,ORG,428,431,baseline
2,Dubai,GPE,12,17,baseline
2,190,CARDINAL,24,27,baseline
2,The United Arab Emirates,GPE,99,123,baseline
2,two weeks,DATE,159,168,baseline
2,2030,DATE,271,275,baseline
3,The World Bank,ORG,0,14,baseline
3,$12.5 billion,MONEY,27,40,baseline
3,June 2024,DATE,68,77,baseline
3,Sub-Saharan Africa,ORG,111,129,baseline
3,South Asia,LOC,134,144,baseline
3,World Bank,ORG,276,286,baseline
3,Ajay Banga,PERSON,297,307,baseline
4,Jordan,GPE,0,6,baseline
4,National Climate Change Policy,ORG,9,39,baseline
4,2022,DATE,52,56,baseline
4,31%,PERCENT,118,121,baseline
4,2030,DATE,125,129,baseline
4,The Ministry of Environment,ORG,266,293,baseline
4,UNDP,ORG,339,343,baseline
4,the European Union,ORG,348,366,baseline
5,UNFCCC,ORG,0,6,baseline
5,Simon Stiell,PERSON,27,39,baseline
5,the Bonn Climate Change Conference,ORG,63,97,baseline
5,June 2024,DATE,101,110,baseline
5,the Paris Agreement,EVENT,187,206,baseline
5,February 2025,DATE,281,294,baseline
6,The European Union's,ORG,0,20,baseline
6,Carbon Border Adjustment Mechanism,ORG,21,55,baseline
6,October 2023,DATE,90,102,baseline
6,EU,ORG,275,277,baseline
6,January 2026,DATE,409,421,baseline
7,September 2023,DATE,3,17,baseline
7,the United Nations General Assembly,ORG,19,54,baseline
7,the Climate Ambition Summit,ORG,62,89,baseline
7,New York,GPE,93,101,baseline
7,the Paris Agreement,EVENT,358,377,baseline
8,FAO,ORG,0,3,baseline
8,State of Food and Agriculture 2023,ORG,18,52,baseline
8,735 million,CARDINAL,173,184,baseline
8,2022,DATE,216,220,baseline
8,FAO,ORG,296,299,baseline
8,Qu Dongyu,PERSON,317,326,baseline
8,$4 billion,MONEY,338,348,baseline
8,annual,DATE,352,358,baseline
